week,open,high,low,close,source_rows,bad,first_date,last_date,valid_hlc,valid_ohlc,segment
2019-06-21,7481,7821,7476,7746.75,6814,0,2019-06-16T22:00:00Z,2019-06-21T20:59:00Z,True,True,fixed
2019-06-28,7744.5,7794.25,7609.5,7723.25,6820,0,2019-06-23T22:00:00Z,2019-06-28T20:59:00Z,True,True,fixed
2019-07-05,7781.5,7909.75,7759,7855,6384,0,2019-06-30T22:00:00Z,2019-07-05T20:59:00Z,True,True,fixed
2019-07-12,7855,7967.5,7743,7958.5,6819,0,2019-07-07T22:00:00Z,2019-07-12T20:59:00Z,True,True,fixed
2019-07-19,7958.25,8001.5,7815.25,7820,6818,0,2019-07-14T22:00:00Z,2019-07-19T20:59:00Z,True,True,fixed
2019-07-26,7830,8051.75,7826.25,8015.25,6824,0,2019-07-21T22:00:00Z,2019-07-26T20:59:00Z,True,True,fixed
2019-08-02,8017.5,8031.75,7650.25,7708,6824,0,2019-07-28T22:00:00Z,2019-08-02T20:59:00Z,True,True,fixed
2019-08-09,7701.75,7738.5,7224.5,7669.25,6825,0,2019-08-04T22:00:00Z,2019-08-09T20:59:00Z,True,True,fixed
2019-08-16,7654.5,7789.5,7388.25,7610.5,6825,0,2019-08-11T22:00:00Z,2019-08-16T20:59:00Z,True,True,fixed
2019-08-23,7617.25,7782.25,7447.75,7490,6824,0,2019-08-18T22:00:00Z,2019-08-23T20:59:00Z,True,True,fixed
2019-08-30,7435,7770.5,7353.25,7675.5,6824,0,2019-08-25T22:00:00Z,2019-08-30T20:59:00Z,True,True,fixed
2019-09-06,7628.25,7895,7580.75,7865,6598,0,2019-09-01T22:00:00Z,2019-09-06T20:59:00Z,True,True,fixed
2019-09-13,7857,7982.75,7744.25,7888,6822,0,2019-09-08T22:00:00Z,2019-09-13T20:59:00Z,True,True,fixed
2019-09-20,7856.75,7973.75,7776.25,7831.75,6823,0,2019-09-15T22:00:00Z,2019-09-20T20:59:00Z,True,True,fixed
2019-09-27,7839.25,7904.75,7641,7717.25,6825,0,2019-09-22T22:00:00Z,2019-09-27T20:59:00Z,True,True,fixed
2019-10-04,7735.5,7841.5,7474.25,7769.75,6825,0,2019-09-29T22:00:00Z,2019-10-04T20:59:00Z,True,True,fixed
2019-10-11,7712.5,7918.5,7583.25,7858.5,6825,0,2019-10-06T22:00:00Z,2019-10-11T20:59:00Z,True,True,fixed
2019-10-18,7850.25,7994.75,7807,7883,6822,0,2019-10-13T22:00:00Z,2019-10-18T20:59:00Z,True,True,fixed
2019-10-25,7874.25,8041.5,7810.25,8036.5,6821,0,2019-10-20T22:00:00Z,2019-10-25T20:59:00Z,True,True,fixed
2019-11-01,8048,8168,8020.5,8163.5,6819,0,2019-10-27T22:00:00Z,2019-11-01T20:59:00Z,True,True,fixed
2019-11-08,8165,8282.25,8161,8260.5,6823,0,2019-11-03T23:00:00Z,2019-11-08T21:59:00Z,True,True,fixed
2019-11-15,8257.25,8324,8206.5,8323.25,6824,0,2019-11-10T23:00:00Z,2019-11-15T21:59:00Z,True,True,fixed
2019-11-22,8318.75,8379,8231,8283,6824,0,2019-11-17T23:00:00Z,2019-11-22T21:59:00Z,True,True,fixed
2019-11-29,8303.25,8458.75,8296.5,8422.5,6387,0,2019-11-24T23:00:00Z,2019-11-29T18:14:00Z,True,True,fixed
2019-12-06,8424.5,8457.25,8168.25,8405,6825,0,2019-12-01T23:00:00Z,2019-12-06T21:59:00Z,True,True,fixed
2019-12-13,8401.5,8523.75,8297,8495.25,6820,0,2019-12-08T23:00:00Z,2019-12-13T21:59:00Z,True,True,fixed
2019-12-20,8507,8724.75,8503.25,8710.25,6821,0,2019-12-15T23:00:00Z,2019-12-20T21:59:00Z,True,True,fixed
2019-12-27,8710.75,8843.5,8707,8779.25,5230,0,2019-12-22T23:00:00Z,2019-12-27T21:59:00Z,False,False,fixed
2020-01-03,8783.5,8907.25,8691.25,8811.75,5452,0,2019-12-29T23:00:00Z,2020-01-03T21:59:00Z,False,False,fixed
2020-01-10,8772.25,9055.5,8678,8978.25,6825,0,2020-01-05T23:00:00Z,2020-01-10T21:59:00Z,True,True,fixed
2020-01-17,8979,9189.25,8979,9171.75,6825,0,2020-01-12T23:00:00Z,2020-01-17T21:59:00Z,True,True,fixed
2020-01-24,9174,9287.25,9109.5,9136.75,6592,0,2020-01-19T23:00:00Z,2020-01-24T21:59:00Z,True,True,fixed
2020-01-31,9077,9248.75,8925.5,9013.25,6825,0,2020-01-26T23:00:00Z,2020-01-31T21:59:00Z,True,True,fixed
