asset,rule,direction,signal,entry,exit,entry_open,exit_close,gross,net10,net25
SP500,sweep_1,1,1986-10-03,1986-10-10,1986-10-31,233.71000671386719,243.97999572753906,0.043943300323659118,0.042943300323659117,0.041443300323659116
SP500,sweep_1,1,1986-11-21,1986-11-28,1986-12-19,245.86000061035156,249.72999572753906,0.0157406455201341,0.014740645520134099,0.0132406455201341
SP500,sweep_1,1,1986-12-19,1986-12-26,1987-01-16,249.72999572753906,266.27999877929688,0.066271586653187775,0.065271586653187774,0.063771586653187773
SP500,sweep_1,1,1987-02-27,1987-03-06,1987-03-27,284.17001342773438,296.1300048828125,0.042087450786286507,0.041087450786286506,0.039587450786286504
SP500,sweep_1,-1,1987-03-27,1987-04-03,1987-04-24,296.10000610351562,281.51998901367188,0.049240178282018099,0.048240178282018098,0.046740178282018097
SP500,sweep_1,-1,1987-04-24,1987-05-01,1987-05-22,281.51998901367188,282.16000366210938,-0.0022734252394647214,-0.0032734252394647214,-0.0047734252394647219
SP500,sweep_1,-1,1987-08-21,1987-08-28,1987-09-18,335.8900146484375,314.8599853515625,0.062609867455828638,0.061609867455828637,0.060109867455828636
SP500,sweep_1,-1,1987-09-18,1987-09-25,1987-10-16,314.92001342773438,282.70001220703125,0.10231169772287829,0.10131169772287829,0.09981169772287829
SP500,sweep_1,-1,1987-11-06,1987-11-13,1987-12-04,250.41000366210938,223.91999816894531,0.10578653051300757,0.10478653051300757,0.10328653051300757
SP500,sweep_1,1,1988-01-01,1988-01-08,1988-01-29,247.10000610351562,257.07000732421875,0.040348041175387372,0.039348041175387372,0.03784804117538737
SP500,sweep_1,-1,1988-02-05,1988-02-12,1988-03-04,250.94999694824219,267.29998779296875,-0.065152385110802458,-0.066152385110802459,-0.06765238511080246
SP500,sweep_1,-1,1988-03-04,1988-03-11,1988-04-01,267.27999877929688,258.8900146484375,0.03139024307534255,0.030390243075342549,0.028890243075342551
SP500,sweep_1,1,1988-04-01,1988-04-08,1988-04-29,258.8900146484375,261.32998657226562,0.0094247432723177926,0.0084247432723177917,0.0069247432723177921
SP500,sweep_1,-1,1988-04-29,1988-05-06,1988-05-27,261.3599853515625,253.41999816894531,0.03037950576840176,0.029379505768401759,0.027879505768401761
SP500,sweep_1,-1,1988-06-17,1988-06-24,1988-07-15,270.67001342773438,272.04998779296875,-0.0050983644170943254,-0.0060983644170943254,-0.0075983644170943259
SP500,sweep_1,1,1988-07-15,1988-07-22,1988-08-12,271.989990234375,262.54998779296875,-0.034707168573636649,-0.03570716857363665,-0.037207168573636651
SP500,sweep_1,1,1988-08-26,1988-09-02,1988-09-23,259.67999267578125,269.760009765625,0.03881707245128041,0.037817072451280409,0.036317072451280408
SP500,sweep_1,-1,1988-10-14,1988-10-21,1988-11-11,275.48001098632812,267.92001342773438,0.027442998610047731,0.02644299861004773,0.024942998610047732
SP500,sweep_1,-1,1988-11-25,1988-12-02,1988-12-23,267.22000122070312,277.8699951171875,-0.03985477826447692,-0.040854778264476921,-0.042354778264476922
SP500,sweep_1,-1,1988-12-23,1988-12-30,1989-01-20,277.8699951171875,286.6300048828125,-0.031525569221428906,-0.032525569221428907,-0.034025569221428908
SP500,sweep_1,1,1989-02-17,1989-02-24,1989-03-17,296.760009765625,292.69000244140625,-0.01371481058864088,-0.014714810588640881,-0.016214810588640879
SP500,sweep_1,-1,1989-05-05,1989-05-12,1989-06-02,307.6099853515625,325.51998901367188,-0.058223089350107893,-0.059223089350107894,-0.060723089350107895
SP500,sweep_1,1,1989-06-16,1989-06-23,1989-07-14,321.35000610351562,331.83999633789062,0.032643504076971697,0.031643504076971696,0.030143504076971698
SP500,sweep_1,-1,1989-08-11,1989-08-18,1989-09-08,344.70999145507812,348.760009765625,-0.011749059821129837,-0.012749059821129838,-0.014249059821129837
SP500,sweep_1,1,1989-10-20,1989-10-27,1989-11-17,347.1099853515625,341.6099853515625,-0.015845121811835616,-0.016845121811835617,-0.018345121811835615
SP500,sweep_1,-1,1989-12-08,1989-12-15,1990-01-05,348.67999267578125,352.20001220703125,-0.010095272471004835,-0.011095272471004836,-0.012595272471004835
SP500,sweep_1,-1,1990-01-05,1990-01-12,1990-02-02,352.20001220703125,330.92001342773438,0.060420210226420967,0.059420210226420966,0.057920210226420965
SP500,sweep_1,1,1990-02-02,1990-02-09,1990-03-02,330.92001342773438,335.54000854492188,0.013961062884449538,0.012961062884449537,0.011461062884449537
SP500,sweep_1,-1,1990-05-25,1990-06-01,1990-06-22,354.57998657226562,355.42999267578125,-0.0023972196280241942,-0.0033972196280241942,-0.0048972196280241947
SP500,sweep_1,1,1990-06-29,1990-07-06,1990-07-27,358.01998901367188,353.44000244140625,-0.01279254430704635,-0.01379254430704635,-0.01529254430704635
SP500,sweep_1,-1,1990-10-26,1990-11-02,1990-11-23,304.739990234375,315.10000610351562,-0.033996246640202177,-0.034996246640202178,-0.036496246640202179
SP500,sweep_1,1,1990-11-23,1990-11-30,1990-12-21,315.07998657226562,331.75,0.052907243043540664,0.051907243043540663,0.050407243043540662
SP500,sweep_1,-1,1991-02-22,1991-03-01,1991-03-22,365.64999389648438,367.48001098632812,-0.0050048328193377234,-0.0060048328193377234,-0.0075048328193377239
SP500,sweep_1,-1,1991-04-05,1991-04-12,1991-05-03,375.35000610351562,380.79998779296875,-0.014519732518534001,-0.015519732518534002,-0.017019732518534
SP500,sweep_1,1,1991-05-03,1991-05-10,1991-05-31,380.77999877929688,389.82998657226562,0.023766972587796475,0.022766972587796475,0.021266972587796477
SP500,sweep_1,1,1991-06-14,1991-06-21,1991-07-12,382.29998779296875,380.25,-0.0053622491719222953,-0.0063622491719222954,-0.0078622491719222958
SP500,sweep_1,1,1991-07-26,1991-08-02,1991-08-23,380.92999267578125,394.17001342773438,0.034757097121575375,0.033757097121575375,0.032257097121575373
SP500,sweep_1,1,1991-10-11,1991-10-18,1991-11-08,381.45001220703125,392.8900146484375,0.029990829926090479,0.028990829926090478,0.02749082992609048
SP500,sweep_1,-1,1991-11-08,1991-11-15,1991-12-06,392.89999389648438,379.10000610351562,0.035123410555726764,0.034123410555726763,0.032623410555726762
