asset,rule,direction,era,n,mean,excess
SP500_MODERN,fvg_disp,-1,1990,33,-0.015230318862478802,-0.0035416709917710327
SP500_MODERN,fvg_disp,-1,2000,39,-0.013022075683702042,-0.013462750745647845
SP500_MODERN,fvg_disp,-1,2010,28,-0.023140395370604066,-0.014260647045951152
SP500_MODERN,fvg_disp,-1,2020,11,-0.017839215608715778,-0.0065657584478808354
SP500_MODERN,sweep_fvg,-1,1980,9,-0.013043678446712689,-0.0013472742718812014
SP500_MODERN,sweep_fvg,-1,1990,12,-0.019696088844521748,-0.0080074409738139837
SP500_MODERN,sweep_fvg,-1,2000,17,-0.02041796132353188,-0.020858636385477691
SP500_MODERN,sweep_fvg,-1,2010,9,-0.013474713923456968,-0.0045949655988040536
SP500_MODERN,sweep_fvg,-1,2020,2,-0.0032104932877515813,0.0080629638730833619
STORA,sweep_1,1,2000,74,-0.016081443901008435,-0.013090418938575172
STORA,sweep_1,1,2010,75,0.0096695210272465457,-0.0012403846084962898
STORA,sweep_1,1,2020,45,-0.0082430172169843489,-0.0095489141291895396
STORA,sweep_1,-1,2000,72,0.010039159378970255,0.0070481344165369952
STORA,sweep_1,-1,2010,65,-0.0081654558155779006,0.002744449820164932
STORA,sweep_1,-1,2020,53,-0.0057856676284265031,-0.004479770716221315
STORA,fvg_disp,1,2000,41,-0.022899621451868375,-0.019908596489435111
STORA,fvg_disp,1,2010,58,0.012986141428118315,0.0020762357923754817
STORA,fvg_disp,1,2020,29,0.006477634796151821,0.0051717378839466303
STORA,fvg_disp,-1,2000,39,-0.0057544719238725216,-0.0087454968863057807
STORA,fvg_disp,-1,2010,47,-0.01455053644258919,-0.0036406308068463525
STORA,fvg_disp,-1,2020,31,-0.03115898919141729,-0.029853092279212106
STORA,sweep_fvg,-1,2000,17,0.0075020510359942632,0.0045110260735610032
STORA,sweep_fvg,-1,2010,16,-0.028522506423358858,-0.017612600787616013
STORA,sweep_fvg,-1,2020,6,-0.015334181358389673,-0.014028284446184485
