i,date,rule,direction,reference,asset,signal_close,return_1,return_4,return_13,lower,upper,ce,width_pct,bridge
1788,1996-04-19,fvg_raw,-1,,ED,29.5,0.004237288135593209,0.05084745762711862,0.076271186440677985,30.125,31.625,30.875,0.050847457627118647,0
1789,1996-04-26,breakout_1,-1,29.5,ED,29.375,0.017021276595744705,0.046808510638297829,0.072340425531914887,,,,,
1789,1996-04-26,breakout_13,-1,29.5,ED,29.375,0.017021276595744705,0.046808510638297829,0.072340425531914887,,,,,
1789,1996-04-26,breakout_4,-1,29.5,ED,29.375,0.017021276595744705,0.046808510638297829,0.072340425531914887,,,,,
1790,1996-05-03,breakout_1,-1,29.25,ED,28.875,-0.025974025974025983,0.034632034632034681,0.038961038961038974,,,,,
1790,1996-05-03,breakout_13,-1,29.25,ED,28.875,-0.025974025974025983,0.034632034632034681,0.038961038961038974,,,,,
1790,1996-05-03,breakout_4,-1,29.25,ED,28.875,-0.025974025974025983,0.034632034632034681,0.038961038961038974,,,,,
1791,1996-05-10,sweep_13,1,28.75,ED,29.625,-0.054852320675105481,-0.063291139240506333,-0.071729957805907185,,,,,
1791,1996-05-10,sweep_4,1,28.75,ED,29.625,-0.054852320675105481,-0.063291139240506333,-0.071729957805907185,,,,,
1792,1996-05-17,breakout_1,-1,28.125,ED,28,-0,0.0044642857142856984,0.026785714285714302,,,,,
1792,1996-05-17,breakout_13,-1,28.125,ED,28,-0,0.0044642857142856984,0.026785714285714302,,,,,
1792,1996-05-17,breakout_4,-1,28.125,ED,28,-0,0.0044642857142856984,0.026785714285714302,,,,,
1792,1996-05-17,sweep_52,1,27.75,ED,28,0,-0.0044642857142856984,-0.026785714285714302,,,,,
1797,1996-06-21,sweep_1,1,27.75,ED,28,0.044642857142857206,-0.026785714285714302,0,,,,,
1797,1996-06-21,sweep_13,1,27.625,ED,28,0.044642857142857206,-0.026785714285714302,0,,,,,
1797,1996-06-21,sweep_4,1,27.625,ED,28,0.044642857142857206,-0.026785714285714302,0,,,,,
1797,1996-06-21,sweep_52,1,27.625,ED,28,0.044642857142857206,-0.026785714285714302,0,,,,,
1798,1996-06-28,breakout_1,1,28.25,ED,29.25,-0.025641025641025661,-0.068376068376068355,-0.042735042735042694,,,,,
1798,1996-06-28,breakout_4,1,28.5,ED,29.25,-0.025641025641025661,-0.068376068376068355,-0.042735042735042694,,,,,
1799,1996-07-05,fvg_disp,1,,ED,28.5,-0.013157894736842146,-0.026315789473684181,-0.0087719298245614308,28.25,28.375,28.3125,0.0043859649122807015,1
1799,1996-07-05,fvg_raw,1,,ED,28.5,-0.013157894736842146,-0.026315789473684181,-0.0087719298245614308,28.25,28.375,28.3125,0.0043859649122807015,1
1799,1996-07-05,sweep_1,-1,29.375,ED,28.5,0.013157894736842146,0.026315789473684181,0.0087719298245614308,,,,,
1799,1996-07-05,sweep_4,-1,29.375,ED,28.5,0.013157894736842146,0.026315789473684181,0.0087719298245614308,,,,,
1799,1996-07-05,sweep_fvg,1,,ED,28.5,-0.013157894736842146,-0.026315789473684181,-0.0087719298245614308,28.25,28.375,28.3125,0.0043859649122807015,1
1800,1996-07-12,breakout_1,-1,28.375,ED,28.125,0.031111111111111089,0.022222222222222254,-0.026666666666666616,,,,,
1801,1996-07-19,breakout_1,-1,27.375,ED,27.25,-0,-0,-0.041284403669724856,,,,,
1801,1996-07-19,breakout_13,-1,27.375,ED,27.25,-0,-0,-0.041284403669724856,,,,,
1801,1996-07-19,breakout_4,-1,27.375,ED,27.25,-0,-0,-0.041284403669724856,,,,,
1801,1996-07-19,breakout_52,-1,27.375,ED,27.25,-0,-0,-0.041284403669724856,,,,,
1801,1996-07-19,fvg_raw,-1,,ED,27.25,-0,-0,-0.041284403669724856,28.25,28.375,28.3125,0.0045871559633027525,1
1802,1996-07-26,sweep_1,1,27.125,ED,27.25,0.018348623853210899,-0.0045871559633027248,0.05504587155963292,,,,,
1802,1996-07-26,sweep_13,1,27.125,ED,27.25,0.018348623853210899,-0.0045871559633027248,0.05504587155963292,,,,,
1802,1996-07-26,sweep_4,1,27.125,ED,27.25,0.018348623853210899,-0.0045871559633027248,0.05504587155963292,,,,,
1802,1996-07-26,sweep_52,1,27.125,ED,27.25,0.018348623853210899,-0.0045871559633027248,0.05504587155963292,,,,,
1803,1996-08-02,breakout_1,1,27.5,ED,27.75,-0.009009009009009028,-0.058558558558558516,0.049549549549549488,,,,,
1804,1996-08-09,sweep_1,-1,27.75,ED,27.5,0.0090909090909090384,0.022727272727272707,-0.08181818181818179,,,,,
1807,1996-08-30,breakout_1,-1,27.125,ED,26.125,-0.028708133971291794,-0.071770334928229707,-0.11004784688995217,,,,,
1807,1996-08-30,breakout_13,-1,26.875,ED,26.125,-0.028708133971291794,-0.071770334928229707,-0.11004784688995217,,,,,
1807,1996-08-30,breakout_4,-1,26.875,ED,26.125,-0.028708133971291794,-0.071770334928229707,-0.11004784688995217,,,,,
1807,1996-08-30,breakout_52,-1,26.875,ED,26.125,-0.028708133971291794,-0.071770334928229707,-0.11004784688995217,,,,,
1808,1996-09-06,fvg_disp,-1,,ED,26.875,-0.041860465116279055,-0.051162790697674376,-0.069767441860465018,26.875,27.125,27,0.0093023255813953487,1
1808,1996-09-06,fvg_raw,-1,,ED,26.875,-0.041860465116279055,-0.051162790697674376,-0.069767441860465018,26.875,27.125,27,0.0093023255813953487,1
1808,1996-09-06,sweep_1,1,26.125,ED,26.875,0.041860465116279055,0.051162790697674376,0.069767441860465018,,,,,
1808,1996-09-06,sweep_13,1,26.125,ED,26.875,0.041860465116279055,0.051162790697674376,0.069767441860465018,,,,,
1808,1996-09-06,sweep_4,1,26.125,ED,26.875,0.041860465116279055,0.051162790697674376,0.069767441860465018,,,,,
1808,1996-09-06,sweep_52,1,26.125,ED,26.875,0.041860465116279055,0.051162790697674376,0.069767441860465018,,,,,
1809,1996-09-13,breakout_1,1,26.875,ED,28,0,0.03125,0.035714285714285809,,,,,
1809,1996-09-13,breakout_4,1,27.375,ED,28,0,0.03125,0.035714285714285809,,,,,
1810,1996-09-20,fvg_disp,1,,ED,28,0,0.013392857142857206,0.049107142857142794,26.875,28,27.4375,0.040178571428571432,1
1810,1996-09-20,fvg_raw,1,,ED,28,0,0.013392857142857206,0.049107142857142794,26.875,28,27.4375,0.040178571428571432,1
1810,1996-09-20,sweep_1,-1,28.125,ED,28,-0,-0.013392857142857206,-0.049107142857142794,,,,,
1810,1996-09-20,sweep_4,-1,28.125,ED,28,-0,-0.013392857142857206,-0.049107142857142794,,,,,
1810,1996-09-20,sweep_fvg,1,,ED,28,0,0.013392857142857206,0.049107142857142794,26.875,28,27.4375,0.040178571428571432,1
1812,1996-10-04,sweep_1,1,27.75,ED,28.25,0.022123893805309658,0.030973451327433565,0.026548672566371723,,,,,
1813,1996-10-11,breakout_1,1,28.25,ED,28.875,-0.017316017316017285,0.030303030303030276,0.038961038961038863,,,,,
1813,1996-10-11,breakout_13,1,28.75,ED,28.875,-0.017316017316017285,0.030303030303030276,0.038961038961038863,,,,,
1813,1996-10-11,breakout_4,1,28.5,ED,28.875,-0.017316017316017285,0.030303030303030276,0.038961038961038863,,,,,
