asset,rule,direction,horizon,formed,n,censored,edge_hits,edge_rate,edge_range_touches,edge_open_passes,edge_open_known,edge_median_wait,ce_hits,ce_rate,ce_range_touches,ce_open_passes,ce_open_known,ce_median_wait,far_hits,far_rate,far_range_touches,far_open_passes,far_open_known,far_median_wait
NQ_LOCAL_SNAPSHOT,fvg_raw,-1,13,28,12,16,12,1,12,0,12,1.5,11,0.91666666666666663,11,0,11,2,11,0.91666666666666663,11,0,11,4
NQ_LOCAL_SNAPSHOT,fvg_raw,-1,52,28,0,28,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_SNAPSHOT,fvg_disp,1,1,31,29,2,11,0.37931034482758619,11,0,11,1,5,0.17241379310344829,5,0,5,1,4,0.13793103448275862,4,0,4,1
NQ_LOCAL_SNAPSHOT,fvg_disp,1,4,31,27,4,16,0.59259259259259256,16,0,16,1,14,0.51851851851851849,14,0,14,2,9,0.33333333333333331,9,0,9,2
NQ_LOCAL_SNAPSHOT,fvg_disp,1,13,31,13,18,9,0.69230769230769229,9,0,9,1,9,0.69230769230769229,9,0,9,2,9,0.69230769230769229,9,0,9,3
NQ_LOCAL_SNAPSHOT,fvg_disp,1,52,31,0,31,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_SNAPSHOT,fvg_disp,-1,1,7,7,0,5,0.7142857142857143,5,0,5,1,4,0.5714285714285714,4,0,4,1,3,0.42857142857142855,3,0,3,1
NQ_LOCAL_SNAPSHOT,fvg_disp,-1,4,7,7,0,5,0.7142857142857143,5,0,5,1,5,0.7142857142857143,5,0,5,1,4,0.5714285714285714,4,0,4,1
NQ_LOCAL_SNAPSHOT,fvg_disp,-1,13,7,3,4,3,1,3,0,3,1,3,1,3,0,3,1,3,1,3,0,3,1
NQ_LOCAL_SNAPSHOT,fvg_disp,-1,52,7,0,7,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_SNAPSHOT,sweep_fvg,1,1,12,10,2,6,0.59999999999999998,6,0,6,1,4,0.40000000000000002,4,0,4,1,4,0.40000000000000002,4,0,4,1
NQ_LOCAL_SNAPSHOT,sweep_fvg,1,4,12,8,4,7,0.875,7,0,7,1,7,0.875,7,0,7,2,6,0.75,6,0,6,1.5
NQ_LOCAL_SNAPSHOT,sweep_fvg,1,13,12,5,7,5,1,5,0,5,1,5,1,5,0,5,2,5,1,5,0,5,2
NQ_LOCAL_SNAPSHOT,sweep_fvg,1,52,12,0,12,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_SNAPSHOT,sweep_fvg,-1,1,4,4,0,2,0.5,2,0,2,1,1,0.25,1,0,1,1,1,0.25,1,0,1,1
NQ_LOCAL_SNAPSHOT,sweep_fvg,-1,4,4,4,0,2,0.5,2,0,2,1,2,0.5,2,0,2,1.5,2,0.5,2,0,2,1.5
NQ_LOCAL_SNAPSHOT,sweep_fvg,-1,13,4,1,3,1,1,1,0,1,8,1,1,1,0,1,9,1,1,1,0,1,9
NQ_LOCAL_SNAPSHOT,sweep_fvg,-1,52,4,0,4,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_FIXED,fvg_raw,1,1,91,85,6,25,0.29411764705882354,25,1,25,1,16,0.18823529411764706,16,1,16,1,13,0.15294117647058825,13,0,13,1
NQ_LOCAL_FIXED,fvg_raw,1,4,91,74,17,38,0.51351351351351349,38,1,38,1,32,0.43243243243243246,32,1,32,2,23,0.3108108108108108,23,0,23,2
NQ_LOCAL_FIXED,fvg_raw,1,13,91,44,47,32,0.72727272727272729,32,0,32,2,30,0.68181818181818177,30,0,30,3,28,0.63636363636363635,28,0,28,3
NQ_LOCAL_FIXED,fvg_raw,1,52,91,0,91,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_FIXED,fvg_raw,-1,1,28,27,1,15,0.55555555555555558,15,0,15,1,13,0.48148148148148145,13,0,13,1,8,0.29629629629629628,8,0,8,1
NQ_LOCAL_FIXED,fvg_raw,-1,4,28,25,3,20,0.80000000000000004,20,0,20,1,18,0.71999999999999997,18,0,18,1,16,0.64000000000000001,16,0,16,1.5
NQ_LOCAL_FIXED,fvg_raw,-1,13,28,12,16,12,1,12,0,12,1.5,11,0.91666666666666663,11,0,11,2,11,0.91666666666666663,11,0,11,4
NQ_LOCAL_FIXED,fvg_raw,-1,52,28,0,28,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_FIXED,fvg_disp,1,1,30,28,2,10,0.35714285714285715,10,0,10,1,5,0.17857142857142858,5,0,5,1,4,0.14285714285714285,4,0,4,1
NQ_LOCAL_FIXED,fvg_disp,1,4,30,27,3,16,0.59259259259259256,16,0,16,1,14,0.51851851851851849,14,0,14,2,9,0.33333333333333331,9,0,9,2
NQ_LOCAL_FIXED,fvg_disp,1,13,30,12,18,8,0.66666666666666663,8,0,8,1,8,0.66666666666666663,8,0,8,2,8,0.66666666666666663,8,0,8,2.5
NQ_LOCAL_FIXED,fvg_disp,1,52,30,0,30,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_FIXED,fvg_disp,-1,1,7,7,0,5,0.7142857142857143,5,0,5,1,4,0.5714285714285714,4,0,4,1,3,0.42857142857142855,3,0,3,1
NQ_LOCAL_FIXED,fvg_disp,-1,4,7,7,0,5,0.7142857142857143,5,0,5,1,5,0.7142857142857143,5,0,5,1,4,0.5714285714285714,4,0,4,1
NQ_LOCAL_FIXED,fvg_disp,-1,13,7,3,4,3,1,3,0,3,1,3,1,3,0,3,1,3,1,3,0,3,1
NQ_LOCAL_FIXED,fvg_disp,-1,52,7,0,7,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_FIXED,sweep_fvg,1,1,11,9,2,5,0.55555555555555558,5,0,5,1,4,0.44444444444444442,4,0,4,1,4,0.44444444444444442,4,0,4,1
NQ_LOCAL_FIXED,sweep_fvg,1,4,11,8,3,7,0.875,7,0,7,1,7,0.875,7,0,7,2,6,0.75,6,0,6,1.5
NQ_LOCAL_FIXED,sweep_fvg,1,13,11,5,6,5,1,5,0,5,1,5,1,5,0,5,2,5,1,5,0,5,2
NQ_LOCAL_FIXED,sweep_fvg,1,52,11,0,11,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
NQ_LOCAL_FIXED,sweep_fvg,-1,1,4,4,0,2,0.5,2,0,2,1,1,0.25,1,0,1,1,1,0.25,1,0,1,1
NQ_LOCAL_FIXED,sweep_fvg,-1,4,4,4,0,2,0.5,2,0,2,1,2,0.5,2,0,2,1.5,2,0.5,2,0,2,1.5
NQ_LOCAL_FIXED,sweep_fvg,-1,13,4,1,3,1,1,1,0,1,8,1,1,1,0,1,9,1,1,1,0,1,9
NQ_LOCAL_FIXED,sweep_fvg,-1,52,4,0,4,0,,0,0,0,,0,,0,0,0,,0,,0,0,0,
