asset,rule,direction,horizon,period,formed,n,mean,median,sd,q25,q75,positive,baseline,excess,ci_low,ci_high
NQ_YAHOO,breakout_1,-1,1,late,61,61,-0.006040900732,-0.0004505597338,0.03831838439,-0.03812932679,0.02354164007,0.4918032787,-0.004098974848,-0.001941925884,,
NQ_YAHOO,fvg_raw,-1,1,late,27,27,0.001280964031,-0.001344588033,0.03845250384,-0.01889293571,0.0291683338,0.4814814815,-0.00411727594,0.005398239971,,
NQ_YAHOO,breakout_1,1,1,late,143,143,0.003685094818,0.005863442078,0.02262626872,-0.01069903409,0.01675052534,0.6083916084,0.004228801073,-0.0005437062546,,
NQ_YAHOO,sweep_4,1,1,late,42,42,0.002745218528,0.001339512864,0.03216690112,-0.02180539627,0.02104852836,0.5238095238,0.00419701641,-0.001451797881,,
NQ_YAHOO,breakout_4,-1,1,late,33,33,-0.01164574437,-0.004313659628,0.04035320395,-0.0400925212,0.01706446091,0.3939393939,-0.004131774207,-0.007513970167,,
NQ_YAHOO,sweep_1,1,1,late,63,62,0.003366386364,0.007586638028,0.03020995724,-0.01853037443,0.02228183389,0.5806451613,0.004166149131,-0.0007997627676,,
NQ_YAHOO,sweep_1,-1,1,late,63,63,-0.007640628188,-0.009558071456,0.03297969738,-0.02784868884,0.01038269426,0.3174603175,-0.004162841923,-0.003477786266,,
NQ_YAHOO,sweep_13,1,1,late,17,17,0.009823541811,0.01651363805,0.03209969538,-0.02269041606,0.02236523259,0.5882352941,0.004042226086,0.005781315725,,
NQ_YAHOO,sweep_4,-1,1,late,72,72,-0.006080464841,-0.009451151804,0.03107164492,-0.02296716247,0.01025452403,0.3194444444,-0.00411727594,-0.001963188902,,
NQ_YAHOO,fvg_disp,-1,1,late,18,18,-0.000903596756,-0.007333120015,0.03351448607,-0.01959208839,0.02250769017,0.4444444444,-0.00419701641,0.003293419654,,
NQ_YAHOO,sweep_fvg,-1,1,late,7,7,0.009426983473,0.01325027648,0.04379878254,-0.00801692327,0.02891841938,0.7142857143,-0.004367888846,0.01379487232,,
NQ_YAHOO,breakout_13,-1,1,late,15,15,-0.01442613166,-0.005753326142,0.04690609372,-0.06061572297,0.01895209805,0.4,-0.004149172128,-0.01027695953,,
NQ_YAHOO,breakout_4,1,1,late,116,116,0.002425818361,0.003312599881,0.02114134991,-0.01201569608,0.01571297161,0.5603448276,0.004242385988,-0.001816567626,,
NQ_YAHOO,fvg_raw,1,1,late,72,72,0.0037732008,0.005363529225,0.02157434088,-0.009436936587,0.01733063522,0.5972222222,0.004216951527,-0.0004437507276,,
NQ_YAHOO,sweep_13,-1,1,late,54,54,-0.007043629542,-0.01223613411,0.03066327778,-0.02789578506,0.01005496111,0.2962962963,-0.004064115627,-0.002979513916,,
NQ_YAHOO,breakout_13,1,1,late,85,85,0.0004109889189,0.002561837456,0.02077182573,-0.01509853783,0.01458529154,0.5294117647,0.004227974475,-0.003816985556,,
